year,make,model,trim,msrp_price,as_of_datetime
2025,Toyota,Sienna,Limited AWD 7-Pass,68979.08,2025-10-26 05:50:06.917914+00:00
2025,Toyota,4Runner,NA,57318.58,2025-10-26 05:50:10.952606+00:00
2025,Toyota,4Runner Hybrid,Hybrid,70454.58,2025-10-26 05:50:10.952827+00:00
2025,Toyota,Land Cruiser,1958,73313.58,2025-10-26 05:50:15.418387+00:00
2025,Toyota,Land Cruiser,Cruiser,82073.58,2025-10-26 05:50:15.418523+00:00
2026,Toyota,Sequoia,SR5 TRD Off Road,88058.58,2025-10-26 05:50:20.282322+00:00
2026,Toyota,Sequoia,Limited,91388.58,2025-10-26 05:50:20.282463+00:00
2026,Toyota,Sequoia,Platinum,103220.3,2025-10-26 05:50:20.282592+00:00
2026,Toyota,Sequoia,Capstone,106816.7,2025-10-26 05:50:20.282719+00:00
2025,Toyota,Tacoma,4x4 Double Cab 8A,51438.58,2025-10-26 05:50:24.248109+00:00
2025,Toyota,Tacoma,4x4 Double Cab 6M,53017.58,2025-10-26 05:50:24.248243+00:00
2025,Toyota,Tacoma,4x4 Double Cab Hybrid,67858.58,2025-10-26 05:50:24.248388+00:00
2026,Toyota,Tundra 4X2,Double Cab SR 4X2 Regular Bed,57458.58,2025-10-26 05:50:28.351829+00:00
2026,Toyota,Tundra 4X2,Double Cab SR 4X2 Long Bed,57958.58,2025-10-26 05:50:28.351963+00:00
2026,Toyota,Tundra 4X4,Double Cab SR,60758.58,2025-10-26 05:50:28.352101+00:00
2026,Toyota,Tundra 4X4,CrewMax SR,62703.58,2025-10-26 05:50:28.352238+00:00
2026,Toyota,Tundra 4X4,Double Cab SR5 L,64928.58,2025-10-26 05:50:28.352369+00:00
2026,Toyota,Tundra 4X4,CrewMax SR5 L,65613.58,2025-10-26 05:50:28.352504+00:00
2026,Toyota,Tundra 4X4,CrewMax Limited,75438.58,2025-10-26 05:50:28.352641+00:00
2026,Toyota,Tundra 4X4,CrewMax Limited L,75798.58,2025-10-26 05:50:28.352791+00:00
2026,Toyota,Tundra Hybrid,CrewMax Limited,79093.58,2025-10-26 05:50:28.352942+00:00
2026,Toyota,Tundra Hybrid,CrewMax Limited L,79138.58,2025-10-26 05:50:28.353083+00:00
2026,Toyota,Tundra 4X4,CrewMax Platinum,85808.58,2025-10-26 05:50:28.353209+00:00
2026,Toyota,Tundra 4X4,CrewMax Platinum L,86168.58,2025-10-26 05:50:28.353331+00:00
2026,Toyota,Tundra Hybrid,CrewMax Platinum,89463.58,2025-10-26 05:50:28.353464+00:00
2026,Toyota,Tundra Hybrid,CrewMax Capstone,97398.58,2025-10-26 05:50:28.353600+00:00
